data,usuários_ativos,novos_usuários
2025-12-21,11888,8783
2025-12-22,7156,4701
2025-12-23,8122,5328
2025-12-24,3762,2630
2025-12-25,2750,1742
2025-12-26,3799,2492
2025-12-27,3394,2448
2025-12-28,3086,2180
2025-12-29,3681,2481
2025-12-30,3098,2205
2025-12-31,2714,1893
2026-01-01,3253,2418
2026-01-02,4553,3556
2026-01-03,5559,4676
2026-01-04,2983,2231
2026-01-05,6601,5238
2026-01-06,39769,37611
2026-01-07,28679,26302
2026-01-08,15008,13148
2026-01-09,7227,5850
2026-01-10,6713,5834
2026-01-11,18062,17200
2026-01-12,17632,15580
2026-01-13,11570,9482
2026-01-14,7524,5843
2026-01-15,6495,4867
2026-01-16,6629,5024
2026-01-17,14457,10663
2026-01-18,10213,7786
2026-01-19,23024,16028
2026-01-20,30786,22224
2026-01-21,18249,13592
2026-01-22,11957,9411
2026-01-23,8089,5658
2026-01-24,7602,4813
2026-01-25,6202,4191
2026-01-26,7513,5184
2026-01-27,6658,5012
2026-01-28,9726,8154
2026-01-29,6646,4896
2026-01-30,6370,4601
2026-01-31,10497,7156
2026-02-01,21563,15438
2026-02-02,11319,7897
2026-02-03,10627,6839
2026-02-04,7683,5390
2026-02-05,7158,5318
2026-02-06,6499,4868
2026-02-07,5086,4001
2026-02-08,5195,4120
2026-02-09,5966,4421
2026-02-10,14563,10552
2026-02-11,9040,6764
2026-02-12,6602,5184
2026-02-13,6884,5492
2026-02-14,7024,5666
2026-02-15,5449,4385
2026-02-16,5734,4671
2026-02-17,5440,4463
2026-02-18,8355,6885
2026-02-19,9752,8097
2026-02-20,8247,6761
2026-02-21,5773,4762
2026-02-22,5768,4803
2026-02-23,6129,4684
2026-02-24,6206,4678
2026-02-25,6446,5041
2026-02-26,5674,4399
2026-02-27,8830,6736
2026-02-28,7865,6146
2026-03-01,6039,5032
2026-03-02,6474,4814
2026-03-03,5613,4135
2026-03-04,5564,4133
2026-03-05,6024,4519
2026-03-06,5230,3955
2026-03-07,5901,4783
2026-03-08,5878,4314
2026-03-09,7949,5847
2026-03-10,6053,4613
2026-03-11,8380,6704
2026-03-12,6124,4703
2026-03-13,6079,4824
2026-03-14,5683,4836
2026-03-15,5692,4869
2026-03-16,8216,6617
2026-03-17,7417,5721
2026-03-18,6559,5010
2026-03-19,6136,4851
2026-03-20,5706,4435
2026-03-21,4943,3983
2026-03-22,6682,5631
2026-03-23,7091,5486
2026-03-24,7382,5841
2026-03-25,6376,4917
2026-03-26,5713,4330
2026-03-27,3712,2726
2026-03-28,4530,3614
2026-03-29,3664,2781
2026-03-30,4788,3460
2026-03-31,4031,2865
2026-04-01,5609,4335
2026-04-02,5535,4310
2026-04-03,4600,3714
2026-04-04,4178,3396
2026-04-05,12235,9895
2026-04-06,9065,7146
2026-04-07,8024,6147
2026-04-08,9091,7581
2026-04-09,8722,7246
2026-04-10,8749,7596
2026-04-11,6240,5367
2026-04-12,4704,3911
2026-04-13,10144,8580
2026-04-14,10683,9211
2026-04-15,9663,8200
2026-04-16,9876,8461
2026-04-17,8608,7299
2026-04-18,8390,7558
2026-04-19,7271,6449
2026-04-20,9839,8718
2026-04-21,9336,8185
2026-04-22,12958,11486
2026-04-23,10437,8977
2026-04-24,6739,5524
2026-04-25,6510,5698
2026-04-26,5968,5140
2026-04-27,7418,5578
2026-04-28,6697,5117
2026-04-29,8888,7226
2026-04-30,9670,8225
2026-05-01,6050,5168
2026-05-02,5570,4795
2026-05-03,5311,4480
2026-05-04,6178,4882
2026-05-05,4660,3452
2026-05-06,5368,4117
2026-05-07,5769,4422
2026-05-08,3927,2854
2026-05-09,9697,8161
2026-05-10,6168,5074
2026-05-11,4827,3446
2026-05-12,13174,10793
2026-05-13,9548,7726
2026-05-14,6269,4964
2026-05-15,4731,3486
2026-05-16,4431,3448
2026-05-17,12906,10117
2026-05-18,16287,12664
2026-05-19,11529,8676
2026-05-20,10975,8674
2026-05-21,9555,7434
2026-05-22,7296,5730
2026-05-23,6228,5114
2026-05-24,5909,4821
2026-05-25,10463,8757
2026-05-26,8534,6664
2026-05-27,7514,5740
2026-05-28,5842,4441
2026-05-29,5320,4073
2026-05-30,6257,5269
2026-05-31,6054,5260
2026-06-01,7189,5557
2026-06-02,7304,5593
2026-06-03,7283,5864
2026-06-04,4774,3769
2026-06-05,9285,6750
2026-06-06,5875,4577
2026-06-07,4036,3089
2026-06-08,7876,6199
2026-06-09,7330,5567
2026-06-10,10052,7758
2026-06-11,6625,4968
2026-06-12,5687,4384
2026-06-13,4255,3427
2026-06-14,4550,3698
2026-06-15,6725,5021
2026-06-16,5582,4176
2026-06-17,4259,3185
2026-06-18,5445,4215
2026-06-19,4644,3687
2026-06-20,4557,3827
2026-06-21,4725,3859
2026-06-22,5251,4316
2026-06-23,4602,3721
2026-06-24,4292,3581
2026-06-25,4599,3490
2026-06-26,5141,4033
2026-06-27,3781,2920
2026-06-28,3694,2910
2026-06-29,3754,2802
2026-06-30,5274,3980
2026-07-01,5366,4152
2026-07-02,4081,3184
2026-07-03,5401,4434
2026-07-04,5073,4182
2026-07-05,4086,3418
2026-07-06,5778,4610
2026-07-07,8378,7146
2026-07-08,6068,4842
2026-07-09,6978,5402
2026-07-10,5953,4709
2026-07-11,4353,3595
2026-07-12,4883,4017
2026-07-13,7224,5658
2026-07-14,6177,4800
2026-07-15,5114,3935
2026-07-16,4881,3637
2026-07-17,7530,6437
2026-07-18,4268,3634
2026-07-19,4173,3535
2026-07-20,5861,4628
2026-07-21,9952,8136
2026-07-22,8501,6717
2026-07-23,7645,6175
2026-07-24,6759,5534
2026-07-25,4346,3674
2026-07-26,4509,3764
2026-07-27,7654,6270
2026-07-28,7050,5667
2026-07-29,7988,6462
2026-07-30,8897,7457
2026-07-31,7218,5857
2026-08-01,5511,4644
2026-08-02,5623,4826
2026-08-03,7301,5820
2026-08-04,6384,4808
2026-08-05,5918,4449
2026-08-06,5974,4463
2026-08-07,6301,4896
2026-08-08,5188,4387
2026-08-09,6802,6072
2026-08-10,5544,4197
2026-08-11,7053,5769
2026-08-12,6973,5645
2026-08-13,6022,4654
2026-08-14,5213,4090
2026-08-15,4179,3452
2026-08-16,4872,4028
2026-08-17,13467,12078
2026-08-18,29353,28054
2026-08-19,2042,1936
